episode,timestep,reward
138,2000,1.5959
281,4000,0.6562
405,6000,2.9524
532,8000,2.6371
639,10000,5.9108
736,12000,6.8332
815,14000,11.0575
890,16000,12.7738
951,18000,17.652
1013,20000,18.749
1045,22000,52.3401
1089,24000,29.0212
1121,26000,55.8175
1155,28000,50.0715
1180,30000,60.078
1201,32000,76.0227
1219,34000,119.0854
1235,36000,131.4269
1246,38000,158.5344
1259,40000,133.2166
1273,42000,160.7641
1286,44000,166.1235
1300,46000,199.7661
1313,48000,188.3876
1326,50000,181.6461
1341,52000,159.0315
1351,54000,231.1818
1361,56000,175.1457
1372,58000,191.2783
1381,60000,201.8243
1393,62000,251.2766
1404,64000,209.8138
1412,66000,208.2214
1424,68000,208.6248
1435,70000,265.6025
1446,72000,188.7665
1457,74000,271.5401
1469,76000,205.6819
1477,78000,308.7026
1489,80000,295.3957
1500,82000,238.498
1511,84000,239.9079
1521,86000,255.8569
1531,88000,217.0419
1541,90000,274.7117
1550,92000,265.9678
1560,94000,277.1144
1569,96000,237.4746
1576,98000,269.6219
1584,100000,299.6695
1592,102000,348.8648
1602,104000,292.6806
1612,106000,313.0655
1622,108000,289.522
1632,110000,308.5875
1642,112000,304.3491
1652,114000,255.6579
1660,116000,320.2271
1672,118000,258.9905
1680,120000,345.0186
1690,122000,285.9254
1702,124000,223.3992
1710,126000,301.2662
1720,128000,269.4899
1729,130000,266.4993
1737,132000,344.6824
1747,134000,257.901
1758,136000,275.5569
1766,138000,382.1753
1773,140000,381.41
1782,142000,294.729
1793,144000,235.9972
1803,146000,269.0845
1813,148000,278.1971
1824,150000,257.7347
1831,152000,318.7557
1841,154000,333.0077
1852,156000,301.2033
1862,158000,301.034
1873,160000,270.3183
1885,162000,291.3056
1892,164000,361.1121
1901,166000,313.5156
1907,168000,451.4884
1916,170000,345.8832
1925,172000,335.1946
1933,174000,356.1566
1943,176000,339.1048
1951,178000,304.424
1958,180000,422.2432
1968,182000,294.1145
