episode,timestep,reward
85,2000,-2.9506
170,4000,-2.5662
249,6000,-0.0813
332,8000,-0.1873
399,10000,5.1311
457,12000,5.7433
510,14000,9.0608
554,16000,20.555
593,18000,21.3465
632,20000,21.1142
661,22000,43.866
690,24000,42.118
714,26000,43.5835
735,28000,60.149
757,30000,46.2135
778,32000,89.504
798,34000,60.265
823,36000,62.6836
837,38000,147.4287
853,40000,119.6233
868,42000,131.5211
880,44000,178.3466
892,46000,162.5248
904,48000,172.8115
916,50000,138.6984
930,52000,171.5085
942,54000,194.3691
