episode,timestep,reward
114,2000,2.86
224,4000,2.7359
314,6000,5.4102
407,8000,5.6904
465,10000,13.3744
533,12000,8.2303
588,14000,11.0408
637,16000,16.1986
678,18000,26.3575
726,20000,17.8636
753,22000,49.5533
783,24000,45.4823
805,26000,59.4264
825,28000,53.5968
840,30000,108.131
861,32000,46.3959
872,34000,207.083
885,36000,154.2713
900,38000,106.6789
912,40000,122.606
927,42000,98.836
939,44000,151.6837
949,46000,197.3556
957,48000,251.9546
970,50000,181.8091
982,52000,145.4688
994,54000,178.5507
1006,56000,193.0484
1015,58000,204.9638
1026,60000,159.7495
1034,62000,259.0325
1047,64000,232.0404
1058,66000,196.4151
1067,68000,270.5613
1078,70000,213.4673
1090,72000,272.794
1102,74000,213.0009
1111,76000,276.4183
1122,78000,224.8638
1130,80000,268.827
1138,82000,271.5615
1146,84000,237.5828
1156,86000,270.4601
1166,88000,269.9949
1175,90000,209.6621
1186,92000,154.5304
1197,94000,219.2918
1205,96000,273.9097
1217,98000,192.9923
1224,100000,271.1798
1233,102000,208.383
1245,104000,275.7864
1254,106000,307.853
1263,108000,287.4156
1274,110000,280.3624
1284,112000,301.8187
1294,114000,317.3312
1301,116000,322.0202
1309,118000,341.5317
1320,120000,251.6661
1329,122000,277.3274
1341,124000,235.7129
1348,126000,400.9647
1357,128000,292.4138
1365,130000,347.8437
1371,132000,367.8096
1382,134000,283.475
1390,136000,351.0298
1400,138000,287.91
1409,140000,319.0758
1416,142000,415.5963
1428,144000,206.6164
1436,146000,230.1962
