episode,timestep,reward
3954,590000,347.1478
3965,592000,342.6237
3976,594000,346.351
3986,596000,335.8498
3997,598000,354.6549
4006,600000,366.3635
4017,602000,368.7377
4028,604000,333.0598
4038,606000,369.8988
4047,608000,324.6123
4059,610000,341.811
4069,612000,340.9669
4081,614000,330.06
4092,616000,350.6982
4103,618000,355.7849
4114,620000,353.5996
4124,622000,364.9762
4136,624000,326.0852
4147,626000,333.9367
4158,628000,352.3164
4167,630000,396.6337
4178,632000,356.4396
4189,634000,338.9238
4201,636000,341.8609
4211,638000,344.9352
4222,640000,324.2895
4233,642000,339.2361
4244,644000,305.0841
4255,646000,347.5662
4265,648000,312.3293
4275,650000,328.9463
4286,652000,361.0205
4297,654000,345.7326
4306,656000,403.8567
4316,658000,318.0807
4327,660000,326.0791
4338,662000,353.2984
4348,664000,375.7455
4359,666000,343.6206
4370,668000,363.7437
4380,670000,359.5146
4391,672000,359.2487
4401,674000,364.1329
4410,676000,338.3011
4419,678000,348.4532
4429,680000,415.198
4440,682000,362.2779
4449,684000,354.1596
4459,686000,393.9868
4469,688000,388.3572
4479,690000,370.4212
4490,692000,313.2629
4500,694000,375.7111
4509,696000,424.807
4519,698000,376.713
4531,700000,325.3065
4541,702000,345.6412
4552,704000,321.4849
4563,706000,352.1633
4572,708000,406.493
4582,710000,374.184
4593,712000,365.4354
4604,714000,366.77
4615,716000,340.7849
4625,718000,338.8145
4637,720000,318.3034
4647,722000,371.0766
4657,724000,365.7486
4668,726000,359.2713
4678,728000,347.0596
4688,730000,361.534
4698,732000,374.4381
4708,734000,352.4879
4718,736000,383.1096
4729,738000,335.7519
4738,740000,328.3744
4748,742000,344.3884
4758,744000,405.6928
4769,746000,324.222
4780,748000,362.0264
4790,750000,376.5219
4800,752000,358.9059
4811,754000,349.8369
4822,756000,362.1371
4832,758000,382.3609
4843,760000,368.0595
4851,762000,358.5984
4863,764000,350.1926
4874,766000,367.0618
4884,768000,343.5384
4895,770000,399.4803
4904,772000,418.1351
4915,774000,370.4137
4925,776000,375.7875
4935,778000,380.2569
4945,780000,389.2941
4957,782000,348.9921
4967,784000,377.6684
4976,786000,444.7317
4986,788000,378.216
4996,790000,394.2535
5007,792000,360.9032
5017,794000,348.5287
5026,796000,407.6219
5037,798000,349.9986
5049,800000,352.4901
5059,802000,374.922
5068,804000,402.8302
5077,806000,439.9558
5086,808000,370.8678
5098,810000,356.6777
5107,812000,368.5127
5117,814000,386.0192
5127,816000,376.5084
5137,818000,368.7187
5146,820000,417.0997
5156,822000,369.8778
5166,824000,393.4064
5178,826000,326.3842
5188,828000,390.7314
5198,830000,375.9622
5208,832000,410.3364
5218,834000,407.6438
5227,836000,435.5184
5237,838000,376.7215
5245,840000,466.5754
5255,842000,356.2996
5265,844000,411.5672
5275,846000,411.2505
5285,848000,374.8171
5295,850000,411.0696
5305,852000,394.845
5314,854000,380.6307
5325,856000,310.5849
5335,858000,363.5232
5346,860000,395.4146
5357,862000,370.1956
5366,864000,405.8516
5376,866000,384.311
5386,868000,419.0343
5396,870000,400.1539
5403,872000,488.9057
5413,874000,398.2734
5424,876000,366.1904
5435,878000,373.0172
