episode,timestep,reward
91,2000,2.0243
186,4000,0.5724
278,6000,3.6285
366,8000,4.0478
441,10000,6.4803
516,12000,6.7073
578,14000,11.4064
634,16000,12.7181
682,18000,16.0974
722,20000,25.3162
756,22000,29.4522
798,24000,26.0204
826,26000,43.4591
858,28000,39.9907
888,30000,51.1521
914,32000,53.3145
936,34000,81.779
956,36000,87.1287
975,38000,88.0571
996,40000,93.8891
1015,42000,69.9339
1031,44000,119.1766
1045,46000,144.3496
1059,48000,106.1647
1072,50000,150.2617
1089,52000,95.4827
1103,54000,181.3772
1118,56000,109.7277
1128,58000,208.3572
1139,60000,184.1277
1149,62000,248.0057
1158,64000,246.2323
1169,66000,193.0455
1180,68000,218.2709
1192,70000,214.429
1203,72000,172.5277
1212,74000,257.0169
1222,76000,233.5028
1231,78000,189.5101
1240,80000,216.5611
1249,82000,219.4247
1260,84000,192.3341
1272,86000,219.4122
1280,88000,316.579
1290,90000,278.6787
1299,92000,333.03
1307,94000,311.3964
1317,96000,238.7265
1326,98000,219.1396
1336,100000,266.0467
