episode,timestep,reward
92,2000,1.4265
193,4000,0.5943
281,6000,2.9276
369,8000,3.7584
439,10000,10.4737
513,12000,7.964
580,14000,9.9104
644,16000,13.0452
693,18000,18.4425
738,20000,27.8938
780,22000,27.6637
815,24000,40.3248
850,26000,38.6062
884,28000,50.1216
911,30000,60.691
930,32000,92.6983
955,34000,72.8244
978,36000,98.4604
1001,38000,71.9909
1020,40000,123.5383
1039,42000,112.5377
1055,44000,136.2995
1075,46000,108.9422
1092,48000,106.1667
1109,50000,116.866
1124,52000,187.0976
1137,54000,173.8152
1150,56000,158.9411
1164,58000,166.6111
1180,60000,160.5968
1197,62000,145.2076
1210,64000,163.9472
1221,66000,221.7362
1232,68000,214.4141
1245,70000,183.1419
1260,72000,177.4464
1275,74000,182.7766
1289,76000,207.1225
1300,78000,269.6177
1314,80000,223.563
1325,82000,239.2048
1338,84000,237.2008
1350,86000,211.962
1364,88000,239.8903
1377,90000,263.3575
1390,92000,266.8342
1399,94000,292.72
1413,96000,170.8089
1426,98000,247.7248
1439,100000,270.9617
1447,102000,289.3295
1461,104000,185.0228
1471,106000,306.4067
1485,108000,199.6735
1496,110000,274.7704
1505,112000,224.2779
1514,114000,333.7309
1526,116000,244.4744
1534,118000,357.7755
1544,120000,309.3791
1553,122000,320.4359
1565,124000,273.6883
1577,126000,271.6036
1589,128000,250.2816
1602,130000,264.8404
1612,132000,267.67
1625,134000,285.242
1636,136000,304.0307
1649,138000,218.1683
1661,140000,281.4004
1670,142000,298.804
1680,144000,328.8611
1688,146000,370.0199
1700,148000,292.4489
1708,150000,323.9534
1718,152000,334.0255
1730,154000,308.7047
1740,156000,295.9005
1753,158000,286.1508
1767,160000,250.6605
1779,162000,278.1864
1792,164000,252.1476
1802,166000,346.6913
1815,168000,263.6802
1825,170000,296.7671
1835,172000,319.2482
1845,174000,304.8718
1856,176000,284.4795
1866,178000,342.3012
1878,180000,288.9901
1889,182000,309.6247
1902,184000,293.6713
1913,186000,295.0011
1924,188000,346.0544
1934,190000,343.8673
1943,192000,410.4057
1953,194000,371.5223
1963,196000,344.3444
1974,198000,324.0426
1986,200000,336.1767
1998,202000,330.6175
2009,204000,338.2646
2021,206000,303.4275
2031,208000,357.3596
2043,210000,305.3489
2055,212000,329.1685
2066,214000,349.004
2077,216000,359.1597
2089,218000,310.3947
2102,220000,294.9806
2114,222000,314.393
2127,224000,310.5108
2139,226000,330.13
2150,228000,346.651
2161,230000,313.0569
2171,232000,403.5209
2183,234000,329.7185
2193,236000,372.5798
2206,238000,305.6551
2216,240000,341.7464
2229,242000,288.2008
2242,244000,318.9185
2253,246000,349.6158
2263,248000,407.7519
2273,250000,383.4196
2285,252000,330.8147
2297,254000,372.1624
2308,256000,350.0591
2319,258000,370.9969
2328,260000,433.9359
2340,262000,364.2601
2351,264000,368.4479
2363,266000,364.1282
2374,268000,378.4766
2385,270000,394.2692
2396,272000,371.5878
2407,274000,372.8931
2418,276000,362.6587
2429,278000,412.4387
2439,280000,416.0005
2449,282000,388.9611
2461,284000,381.2704
2472,286000,380.1897
2482,288000,392.5751
2494,290000,380.5463
2505,292000,399.6972
2515,294000,437.4474
2527,296000,340.4745
2537,298000,391.1524
2548,300000,399.8512
2559,302000,396.1583
2570,304000,376.4569
2580,306000,451.504
2591,308000,349.2868
2602,310000,403.0875
2613,312000,415.7779
2624,314000,378.3721
2633,316000,466.6664
2643,318000,444.8944
2654,320000,425.715
2665,322000,397.8401
2676,324000,395.9363
2685,326000,458.8906
2695,328000,429.1877
2704,330000,491.9444
2713,332000,472.9707
2722,334000,433.2353
2732,336000,473.4404
2741,338000,476.1384
2751,340000,444.7129
2760,342000,535.3915
