episode,timestep,reward
91,2000,-0.7829
177,4000,-0.6862
252,6000,3.9153
331,8000,2.0627
404,10000,5.2726
477,12000,5.6594
535,14000,10.6874
597,16000,10.5159
636,18000,23.9239
669,20000,38.3941
703,22000,23.3584
738,24000,35.582
754,26000,79.3217
784,28000,53.3457
808,30000,81.4019
830,32000,73.8077
852,34000,91.3013
871,36000,79.6099
886,38000,142.3864
899,40000,138.0814
913,42000,120.2786
931,44000,120.9143
943,46000,184.4022
958,48000,128.7305
972,50000,195.1266
984,52000,243.9768
994,54000,222.4762
1006,56000,191.8891
1014,58000,257.3885
1026,60000,216.8882
1030,62000,394.9794
1039,64000,305.2869
1049,66000,272.5791
1060,68000,269.1927
1070,70000,247.2838
1077,72000,412.7129
1087,74000,292.8873
1096,76000,335.9833
1108,78000,250.7016
1118,80000,243.5839
1129,82000,296.1549
1134,84000,396.9719
1143,86000,306.9566
1154,88000,311.6981
1163,90000,310.5249
1171,92000,352.0644
1179,94000,335.4127
1188,96000,320.1273
1196,98000,343.9502
1206,100000,265.7744
