,original_state,end_state,action,episode
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  1.2930902e-15  3.0080432e-16  3.8903940e-15
  6.5350646e-16  1.5881727e-15  8.3621581e-16 -1.2052687e-16
 -1.0500404e-15  1.7871502e-15  1.3890147e-15 -3.9373204e-16
  1.7592449e-16 -3.4183815e-15  1.4403674e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -2.9313155e-16  5.9070405e-16  3.9378917e-15
 -8.1110525e-16 -1.0688916e-15  5.5606935e-16 -1.1773062e-16
 -1.0666310e-15  1.7852592e-15  1.3843775e-15 -3.9884333e-16
  1.7852184e-16 -3.4162010e-15  1.4553138e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",204.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -2.9313155e-16  5.9070405e-16  3.9378917e-15
 -8.1110525e-16 -1.0688916e-15  5.5606935e-16 -1.1773062e-16
 -1.0666310e-15  1.7852592e-15  1.3843775e-15 -3.9884333e-16
  1.7852184e-16 -3.4162010e-15  1.4553138e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  5.4618495e-16  7.1015316e-16  3.4980987e-15
 -6.2609351e-16  4.8414916e-16  6.0335909e-16 -1.1611386e-16
 -1.0469511e-15  1.7842800e-15  1.3889970e-15 -3.9659448e-16
  1.7018456e-16 -3.4144315e-15  1.4410341e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",205.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  5.4618495e-16  7.1015316e-16  3.4980987e-15
 -6.2609351e-16  4.8414916e-16  6.0335909e-16 -1.1611386e-16
 -1.0469511e-15  1.7842800e-15  1.3889970e-15 -3.9659448e-16
  1.7018456e-16 -3.4144315e-15  1.4410341e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -9.5289294e-17  7.0473745e-16  3.8269321e-15
 -9.3016309e-16 -6.8116341e-16  5.3651385e-16 -1.1787002e-16
 -1.0391016e-15  1.7885376e-15  1.3926020e-15 -3.9701834e-16
  1.6979562e-16 -3.4175581e-15  1.4320558e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",206.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -9.5289294e-17  7.0473745e-16  3.8269321e-15
 -9.3016309e-16 -6.8116341e-16  5.3651385e-16 -1.1787002e-16
 -1.0391016e-15  1.7885376e-15  1.3926020e-15 -3.9701834e-16
  1.6979562e-16 -3.4175581e-15  1.4320558e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  1.1354809e-15 -8.0990948e-17  4.2154183e-15
  1.2944995e-15  1.2454348e-15  9.5385862e-16 -1.2107834e-16
 -1.1036657e-15  1.7786726e-15  1.3714832e-15 -3.9457368e-16
  1.9164150e-16 -3.4143352e-15  1.4866428e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",207.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  1.1354809e-15 -8.0990948e-17  4.2154183e-15
  1.2944995e-15  1.2454348e-15  9.5385862e-16 -1.2107834e-16
 -1.1036657e-15  1.7786726e-15  1.3714832e-15 -3.9457368e-16
  1.9164150e-16 -3.4143352e-15  1.4866428e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  4.3231108e-16  5.4660852e-16  3.8533346e-15
 -3.7973742e-16  9.9330971e-17  6.4697107e-16 -1.1583353e-16
 -1.0422203e-15  1.7883576e-15  1.3921425e-15 -3.9705339e-16
  1.7081686e-16 -3.4171804e-15  1.4338993e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",208.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  4.3231108e-16  5.4660852e-16  3.8533346e-15
 -3.7973742e-16  9.9330971e-17  6.4697107e-16 -1.1583353e-16
 -1.0422203e-15  1.7883576e-15  1.3921425e-15 -3.9705339e-16
  1.7081686e-16 -3.4171804e-15  1.4338993e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -4.7287160e-16  3.5104613e-16  4.1348265e-15
 -4.7911582e-16 -1.5390063e-15  6.1856746e-16 -1.1393619e-16
 -1.1137581e-15  1.7805924e-15  1.3704083e-15 -4.0369738e-16
  1.9147446e-16 -3.4133376e-15  1.4937261e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",209.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -4.7287160e-16  3.5104613e-16  4.1348265e-15
 -4.7911582e-16 -1.5390063e-15  6.1856746e-16 -1.1393619e-16
 -1.1137581e-15  1.7805924e-15  1.3704083e-15 -4.0369738e-16
  1.9147446e-16 -3.4133376e-15  1.4937261e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  1.0671640e-15  4.2666532e-16  3.7795940e-15
  2.9712036e-16  1.2825878e-15  7.6803331e-16 -1.2084189e-16
 -1.0499208e-15  1.7864465e-15  1.3894632e-15 -3.9286508e-16
  1.7508295e-16 -3.4178106e-15  1.4402838e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",210.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  1.0671640e-15  4.2666532e-16  3.7795940e-15
  2.9712036e-16  1.2825878e-15  7.6803331e-16 -1.2084189e-16
 -1.0499208e-15  1.7864465e-15  1.3894632e-15 -3.9286508e-16
  1.7508295e-16 -3.4178106e-15  1.4402838e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -2.2137375e-16  6.4557246e-16  3.8943043e-15
 -8.6791474e-16 -9.3301632e-16  5.4512759e-16 -1.1783941e-16
 -1.0557566e-15  1.7868971e-15  1.3882775e-15 -3.9804855e-16
  1.7473369e-16 -3.4171399e-15  1.4462302e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",211.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -2.2137375e-16  6.4557246e-16  3.8943043e-15
 -8.6791474e-16 -9.3301632e-16  5.4512759e-16 -1.1783941e-16
 -1.0557566e-15  1.7868971e-15  1.3882775e-15 -3.9804855e-16
  1.7473369e-16 -3.4171399e-15  1.4462302e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  7.4157682e-16  3.6113403e-16  3.7855436e-15
  1.0094488e-16  6.3004502e-16  7.4408578e-16 -1.1525540e-16
 -1.0772107e-15  1.7808747e-15  1.3809140e-15 -3.9923694e-16
  1.7945432e-16 -3.4124471e-15  1.4662228e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",212.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  7.4157682e-16  3.6113403e-16  3.7855436e-15
  1.0094488e-16  6.3004502e-16  7.4408578e-16 -1.1525540e-16
 -1.0772107e-15  1.7808747e-15  1.3809140e-15 -3.9923694e-16
  1.7945432e-16 -3.4124471e-15  1.4662228e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  6.3269947e-17  6.5529788e-16  3.8360394e-15
 -7.7586572e-16 -4.6539982e-16  5.6897506e-16 -1.1601069e-16
 -1.0396425e-15  1.7883625e-15  1.3927879e-15 -3.9678642e-16
  1.6944153e-16 -3.4172354e-15  1.4328908e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",213.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  6.3269947e-17  6.5529788e-16  3.8360394e-15
 -7.7586572e-16 -4.6539982e-16  5.6897506e-16 -1.1601069e-16
 -1.0396425e-15  1.7883625e-15  1.3927879e-15 -3.9678642e-16
  1.6944153e-16 -3.4172354e-15  1.4328908e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -1.6174980e-16  1.8607670e-16  4.2021851e-15
  3.0707178e-17 -9.8469782e-16  7.1290671e-16 -1.1629596e-16
 -1.1233490e-15  1.7778444e-15  1.3671286e-15 -4.0127077e-16
  1.9612884e-16 -3.4126555e-15  1.5019655e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",214.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -1.6174980e-16  1.8607670e-16  4.2021851e-15
  3.0707178e-17 -9.8469782e-16  7.1290671e-16 -1.1629596e-16
 -1.1233490e-15  1.7778444e-15  1.3671286e-15 -4.0127077e-16
  1.9612884e-16 -3.4126555e-15  1.5019655e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  1.2928458e-15  3.0157859e-16  3.8904659e-15
  6.5280660e-16  1.5885376e-15  8.3589309e-16 -1.2047331e-16
 -1.0500953e-15  1.7872103e-15  1.3895667e-15 -3.9282963e-16
  1.7589670e-16 -3.4183431e-15  1.4406990e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",215.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  1.2928458e-15  3.0157859e-16  3.8904659e-15
  6.5280660e-16  1.5885376e-15  8.3589309e-16 -1.2047331e-16
 -1.0500953e-15  1.7872103e-15  1.3895667e-15 -3.9282963e-16
  1.7589670e-16 -3.4183431e-15  1.4406990e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -2.9331928e-16  5.9103566e-16  3.9375500e-15
 -8.1191480e-16 -1.0685970e-15  5.5597046e-16 -1.1775893e-16
 -1.0662792e-15  1.7853223e-15  1.3846463e-15 -3.9856664e-16
  1.7845224e-16 -3.4162298e-15  1.4552122e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",216.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -2.9331928e-16  5.9103566e-16  3.9375500e-15
 -8.1191480e-16 -1.0685970e-15  5.5597046e-16 -1.1775893e-16
 -1.0662792e-15  1.7853223e-15  1.3846463e-15 -3.9856664e-16
  1.7845224e-16 -3.4162298e-15  1.4552122e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  5.4581898e-16  7.1076213e-16  3.4981933e-15
 -6.2777302e-16  4.8408859e-16  6.0345830e-16 -1.1653451e-16
 -1.0468416e-15  1.7842438e-15  1.3897068e-15 -3.9647833e-16
  1.7072067e-16 -3.4144245e-15  1.4407676e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",217.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  5.4581898e-16  7.1076213e-16  3.4981933e-15
 -6.2777302e-16  4.8408859e-16  6.0345830e-16 -1.1653451e-16
 -1.0468416e-15  1.7842438e-15  1.3897068e-15 -3.9647833e-16
  1.7072067e-16 -3.4144245e-15  1.4407676e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -9.6081786e-17  7.0458599e-16  3.8272273e-15
 -9.3082071e-16 -6.8243443e-16  5.3631310e-16 -1.1728943e-16
 -1.0387737e-15  1.7882403e-15  1.3930464e-15 -3.9637862e-16
  1.6989385e-16 -3.4175067e-15  1.4323876e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",218.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -9.6081786e-17  7.0458599e-16  3.8272273e-15
 -9.3082071e-16 -6.8243443e-16  5.3631310e-16 -1.1728943e-16
 -1.0387737e-15  1.7882403e-15  1.3930464e-15 -3.9637862e-16
  1.6989385e-16 -3.4175067e-15  1.4323876e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  1.1355623e-15 -8.0926878e-17  4.2145954e-15
  1.2947415e-15  1.2453905e-15  9.5375529e-16 -1.2100764e-16
 -1.1040821e-15  1.7784696e-15  1.3720798e-15 -3.9482646e-16
  1.9231899e-16 -3.4143854e-15  1.4865599e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",219.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  1.1355623e-15 -8.0926878e-17  4.2145954e-15
  1.2947415e-15  1.2453905e-15  9.5375529e-16 -1.2100764e-16
 -1.1040821e-15  1.7784696e-15  1.3720798e-15 -3.9482646e-16
  1.9231899e-16 -3.4143854e-15  1.4865599e-15]","[ 5.49163222e-01  9.82131541e-01 -1.56724621e-02  9.53098759e-02
  1.61517948e-01 -5.24010837e-01  5.23454487e-01 -5.23700058e-01
 -1.22191489e+00  5.23906291e-01 -1.22206390e+00  5.23678303e-01
  5.23179531e-01  4.32368974e-16  5.46754473e-16  3.85413247e-15
 -3.79540588e-16  1.00017895e-16  6.46912784e-16 -1.15792567e-16
 -1.04213492e-15  1.78859795e-15  1.39177752e-15 -3.97682975e-16
  1.71225421e-16 -3.41715834e-15  1.43401397e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",220.0
0,"[ 5.49163222e-01  9.82131541e-01 -1.56724621e-02  9.53098759e-02
  1.61517948e-01 -5.24010837e-01  5.23454487e-01 -5.23700058e-01
 -1.22191489e+00  5.23906291e-01 -1.22206390e+00  5.23678303e-01
  5.23179531e-01  4.32368974e-16  5.46754473e-16  3.85413247e-15
 -3.79540588e-16  1.00017895e-16  6.46912784e-16 -1.15792567e-16
 -1.04213492e-15  1.78859795e-15  1.39177752e-15 -3.97682975e-16
  1.71225421e-16 -3.41715834e-15  1.43401397e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -4.7272983e-16  3.5099431e-16  4.1342234e-15
 -4.7844180e-16 -1.5386637e-15  6.1819276e-16 -1.1381349e-16
 -1.1136539e-15  1.7803872e-15  1.3705730e-15 -4.0345963e-16
  1.9176724e-16 -3.4132347e-15  1.4931164e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",221.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -4.7272983e-16  3.5099431e-16  4.1342234e-15
 -4.7844180e-16 -1.5386637e-15  6.1819276e-16 -1.1381349e-16
 -1.1136539e-15  1.7803872e-15  1.3705730e-15 -4.0345963e-16
  1.9176724e-16 -3.4132347e-15  1.4931164e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  1.0672854e-15  4.2638027e-16  3.7797651e-15
  2.9817476e-16  1.2825333e-15  7.6787052e-16 -1.2054765e-16
 -1.0498466e-15  1.7865106e-15  1.3892747e-15 -3.9347089e-16
  1.7566790e-16 -3.4179175e-15  1.4400370e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",222.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  1.0672854e-15  4.2638027e-16  3.7797651e-15
  2.9817476e-16  1.2825333e-15  7.6787052e-16 -1.2054765e-16
 -1.0498466e-15  1.7865106e-15  1.3892747e-15 -3.9347089e-16
  1.7566790e-16 -3.4179175e-15  1.4400370e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -2.2099395e-16  6.4566325e-16  3.8938143e-15
 -8.6777123e-16 -9.3285422e-16  5.4478555e-16 -1.1755331e-16
 -1.0556357e-15  1.7873318e-15  1.3875356e-15 -3.9799283e-16
  1.7479123e-16 -3.4171088e-15  1.4467258e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",223.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -2.2099395e-16  6.4566325e-16  3.8938143e-15
 -8.6777123e-16 -9.3285422e-16  5.4478555e-16 -1.1755331e-16
 -1.0556357e-15  1.7873318e-15  1.3875356e-15 -3.9799283e-16
  1.7479123e-16 -3.4171088e-15  1.4467258e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  7.4202251e-16  3.6029084e-16  3.7863910e-15
  1.0285524e-16  6.3055425e-16  7.4413740e-16 -1.1525348e-16
 -1.0768037e-15  1.7807282e-15  1.3798895e-15 -3.9925282e-16
  1.7885279e-16 -3.4125124e-15  1.4664304e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",224.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  7.4202251e-16  3.6029084e-16  3.7863910e-15
  1.0285524e-16  6.3055425e-16  7.4413740e-16 -1.1525348e-16
 -1.0768037e-15  1.7807282e-15  1.3798895e-15 -3.9925282e-16
  1.7885279e-16 -3.4125124e-15  1.4664304e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  6.2947207e-17  6.5631702e-16  3.8361182e-15
 -7.7729524e-16 -4.6543719e-16  5.6872640e-16 -1.1615572e-16
 -1.0395967e-15  1.7886943e-15  1.3927465e-15 -3.9714511e-16
  1.6945883e-16 -3.4172276e-15  1.4327719e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",225.0
0,"[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01  6.2947207e-17  6.5631702e-16  3.8361182e-15
 -7.7729524e-16 -4.6543719e-16  5.6872640e-16 -1.1615572e-16
 -1.0395967e-15  1.7886943e-15  1.3927465e-15 -3.9714511e-16
  1.6945883e-16 -3.4172276e-15  1.4327719e-15]","[ 5.4916322e-01  9.8213154e-01 -1.5672462e-02  9.5309876e-02
  1.6151795e-01 -5.2401084e-01  5.2345449e-01 -5.2370006e-01
 -1.2219149e+00  5.2390629e-01 -1.2220639e+00  5.2367830e-01
  5.2317953e-01 -1.6194987e-16  1.8643486e-16  4.2015782e-15
  3.0909291e-17 -9.8519620e-16  7.1234772e-16 -1.1606675e-16
 -1.1232651e-15  1.7779440e-15  1.3663948e-15 -4.0091769e-16
  1.9622337e-16 -3.4124859e-15  1.5027714e-15]","[ 0.0123688  -0.07706338 -0.07884026 -0.01717347 -0.0167287  -0.03209633
  0.05424559 -0.06178343]",226.0
