,original_state,end_state,action,episode
0,"[ 5.90496123e-01  9.86438036e-01 -2.36038100e-02  2.10218895e-02
  1.61061987e-01 -5.24155676e-01  5.19678116e-01 -5.18746614e-01
 -1.04282260e+00  8.76919478e-02 -1.22268689e+00  4.60173339e-01
  1.00505006e+00 -1.00560635e-01  1.49515972e-01 -4.29204226e-01
  3.05433273e-01  3.51584792e-01  4.24977466e-02  1.58555619e-03
  4.51832592e-01  1.99630782e-01  5.98598957e-01  3.92911315e+00
  7.95463845e-03  1.57184768e-02 -1.23872149e+00]","[ 5.77371538e-01  9.86690342e-01 -2.26033330e-02  2.62937918e-02
  1.58870861e-01 -5.24269819e-01  5.35691381e-01 -5.08595228e-01
 -1.01104248e+00  3.05485070e-01 -1.22261751e+00  4.65041369e-01
  9.36578870e-01 -3.56571615e-01 -4.09132987e-02 -2.72785276e-01
  1.39184490e-01  3.16609055e-01 -1.05747126e-01 -8.76121630e-04
  1.87229186e-01  2.08263963e-01  6.76196337e-01  4.77113438e+00
 -4.34573070e-04  1.71472758e-01 -1.54249918e+00]","[ 0.01912844 -0.06278777 -0.18498445 -0.03430611  0.00475824  0.024634
  0.14148891 -0.2945313 ]",10.0
0,"[ 5.77371538e-01  9.86690342e-01 -2.26033330e-02  2.62937918e-02
  1.58870861e-01 -5.24269819e-01  5.35691381e-01 -5.08595228e-01
 -1.01104248e+00  3.05485070e-01 -1.22261751e+00  4.65041369e-01
  9.36578870e-01 -3.56571615e-01 -4.09132987e-02 -2.72785276e-01
  1.39184490e-01  3.16609055e-01 -1.05747126e-01 -8.76121630e-04
  1.87229186e-01  2.08263963e-01  6.76196337e-01  4.77113438e+00
 -4.34573070e-04  1.71472758e-01 -1.54249918e+00]","[ 5.6258899e-01  9.8722148e-01 -3.0632347e-02  3.7585288e-02
  1.5179829e-01 -5.2433187e-01  5.3960449e-01 -4.9708822e-01
 -9.7283381e-01  5.4813570e-01 -1.2226732e+00  4.7899970e-01
  8.5278869e-01 -3.6908579e-01 -4.5064732e-02 -2.8545156e-01
 -7.0395894e-02  6.2600684e-01 -3.1663656e-02 -4.8925524e-04
 -2.3202265e-02  2.3588546e-01  8.3070755e-01  2.0872033e+00
 -6.9980335e-04  3.6288771e-01 -1.8002601e+00]","[ 0.02171946 -0.04542506 -0.21435082 -0.02788574  0.00807822  0.0294596
  0.14259231 -0.31984204]",11.0
0,"[ 5.6258899e-01  9.8722148e-01 -3.0632347e-02  3.7585288e-02
  1.5179829e-01 -5.2433187e-01  5.3960449e-01 -4.9708822e-01
 -9.7283381e-01  5.4813570e-01 -1.2226732e+00  4.7899970e-01
  8.5278869e-01 -3.6908579e-01 -4.5064732e-02 -2.8545156e-01
 -7.0395894e-02  6.2600684e-01 -3.1663656e-02 -4.8925524e-04
 -2.3202265e-02  2.3588546e-01  8.3070755e-01  2.0872033e+00
 -6.9980335e-04  3.6288771e-01 -1.8002601e+00]","[ 5.4733676e-01  9.8602045e-01 -3.6702093e-02  4.8313580e-02
  1.5518524e-01 -5.2419615e-01  5.3428000e-01 -4.8952517e-01
 -9.3647426e-01  5.3934777e-01 -1.2224685e+00  5.0119805e-01
  7.5931501e-01 -3.2688650e-01 -2.9597603e-02 -4.1825375e-01
 -3.7807998e-01  5.7438082e-01  2.0748785e-01  1.1766404e-03
 -1.9386360e-01  7.5150348e-02  6.3158959e-01 -5.0524682e-01
  2.0753490e-03  5.2358919e-01 -1.9587967e+00]","[ 0.025159   -0.03802407 -0.14437461 -0.02423012 -0.0185324  -0.01990873
  0.07540035 -0.20118618]",12.0
0,"[ 5.4733676e-01  9.8602045e-01 -3.6702093e-02  4.8313580e-02
  1.5518524e-01 -5.2419615e-01  5.3428000e-01 -4.8952517e-01
 -9.3647426e-01  5.3934777e-01 -1.2224685e+00  5.0119805e-01
  7.5931501e-01 -3.2688650e-01 -2.9597603e-02 -4.1825375e-01
 -3.7807998e-01  5.7438082e-01  2.0748785e-01  1.1766404e-03
 -1.9386360e-01  7.5150348e-02  6.3158959e-01 -5.0524682e-01
  2.0753490e-03  5.2358919e-01 -1.9587967e+00]","[ 5.3003579e-01  9.8468882e-01 -4.2187270e-02  6.0419690e-02
  1.5797977e-01 -5.2408725e-01  5.1968014e-01 -4.9526983e-01
 -8.9949667e-01  5.1894677e-01 -1.2221951e+00  5.2523512e-01
  6.5970647e-01 -3.5522997e-01 -1.8221946e-01 -3.6494964e-01
 -4.3478560e-02  5.8974159e-01  1.8151525e-01  5.2695250e-04
 -7.8372568e-02 -2.9560414e-01  8.5076749e-01 -3.1334904e-01
  1.6565213e-03  2.0559952e-01 -2.0341239e+00]","[-0.00286716 -0.02677494 -0.10212547 -0.04488003 -0.04780954  0.04069686
  0.02220869 -0.08652782]",13.0
0,"[ 5.3003579e-01  9.8468882e-01 -4.2187270e-02  6.0419690e-02
  1.5797977e-01 -5.2408725e-01  5.1968014e-01 -4.9526983e-01
 -8.9949667e-01  5.1894677e-01 -1.2221951e+00  5.2523512e-01
  6.5970647e-01 -3.5522997e-01 -1.8221946e-01 -3.6494964e-01
 -4.3478560e-02  5.8974159e-01  1.8151525e-01  5.2695250e-04
 -7.8372568e-02 -2.9560414e-01  8.5076749e-01 -3.1334904e-01
  1.6565213e-03  2.0559952e-01 -2.0341239e+00]","[ 5.2114427e-01  9.8396856e-01 -4.7073059e-02  6.1962295e-02
  1.6047008e-01 -5.2413547e-01  5.2201563e-01 -5.1703256e-01
 -8.5363340e-01  5.0851411e-01 -1.2221771e+00  5.2492380e-01
  5.5484891e-01 -1.4594956e-01 -1.0534420e-02  3.4520719e-02
 -1.0304023e-01 -2.4010435e-01  2.9850576e-02 -5.6007918e-04
  4.8353188e-02 -5.6491321e-01  9.7940910e-01 -1.1031877e-01
  6.4486753e-06 -4.1713465e-02 -2.1629477e+00]","[ 0.00608683 -0.03507221 -0.11477065 -0.04198229 -0.0460034   0.0252552
  0.02486861 -0.08159006]",14.0
0,"[ 5.2114427e-01  9.8396856e-01 -4.7073059e-02  6.1962295e-02
  1.6047008e-01 -5.2413547e-01  5.2201563e-01 -5.1703256e-01
 -8.5363340e-01  5.0851411e-01 -1.2221771e+00  5.2492380e-01
  5.5484891e-01 -1.4594956e-01 -1.0534420e-02  3.4520719e-02
 -1.0304023e-01 -2.4010435e-01  2.9850576e-02 -5.6007918e-04
  4.8353188e-02 -5.6491321e-01  9.7940910e-01 -1.1031877e-01
  6.4486753e-06 -4.1713465e-02 -2.1629477e+00]","[ 5.1954633e-01  9.8432177e-01 -5.1326357e-02  5.4282174e-02
  1.5978020e-01 -5.2408922e-01  5.2318919e-01 -5.2682942e-01
 -8.0465066e-01  5.0721061e-01 -1.2222592e+00  5.2387428e-01
  5.1384258e-01 -1.3601047e-01  6.8450935e-02 -7.1609102e-02
 -2.1513595e-01 -1.9854030e-01 -6.1872110e-02  4.4882926e-04
  6.1605037e-03  7.7118009e-02  9.7450489e-01  5.5238452e-02
 -3.9751286e-04 -6.7817727e-03  2.0979171e-01]","[ 0.02117276 -0.02807909 -0.10868371 -0.05252194 -0.00793135  0.00776315
  0.02687907 -0.11989981]",15.0
0,"[ 5.1954633e-01  9.8432177e-01 -5.1326357e-02  5.4282174e-02
  1.5978020e-01 -5.2408922e-01  5.2318919e-01 -5.2682942e-01
 -8.0465066e-01  5.0721061e-01 -1.2222592e+00  5.2387428e-01
  5.1384258e-01 -1.3601047e-01  6.8450935e-02 -7.1609102e-02
 -2.1513595e-01 -1.9854030e-01 -6.1872110e-02  4.4882926e-04
  6.1605037e-03  7.7118009e-02  9.7450489e-01  5.5238452e-02
 -3.9751286e-04 -6.7817727e-03  2.0979171e-01]","[ 5.1556033e-01  9.8463005e-01 -5.6203138e-02  4.8839986e-02
  1.5798596e-01 -5.2398568e-01  5.2340722e-01 -5.2428222e-01
 -7.5809336e-01  5.1779926e-01 -1.2221770e+00  5.2376056e-01
  5.2151650e-01 -1.9579433e-01  8.3213910e-02 -8.4199674e-02
 -2.3499034e-01 -1.7092353e-01 -1.3265900e-01  1.0115706e-03
  2.1219887e-03  2.2435786e-02  8.8864714e-01  3.6385554e-01
  7.0397300e-04 -3.4429439e-04  7.2175488e-02]","[ 0.0242635  -0.06635141 -0.07575655 -0.0075922  -0.03306198 -0.00330263
  0.05064595 -0.09515822]",16.0
0,"[ 5.1556033e-01  9.8463005e-01 -5.6203138e-02  4.8839986e-02
  1.5798596e-01 -5.2398568e-01  5.2340722e-01 -5.2428222e-01
 -7.5809336e-01  5.1779926e-01 -1.2221770e+00  5.2376056e-01
  5.2151650e-01 -1.9579433e-01  8.3213910e-02 -8.4199674e-02
 -2.3499034e-01 -1.7092353e-01 -1.3265900e-01  1.0115706e-03
  2.1219887e-03  2.2435786e-02  8.8864714e-01  3.6385554e-01
  7.0397300e-04 -3.4429439e-04  7.2175488e-02]","[ 5.1132768e-01  9.8480767e-01 -6.0889274e-02  4.3720145e-02
  1.5663610e-01 -5.2404374e-01  5.2347767e-01 -5.2380979e-01
 -7.1643758e-01  5.2581441e-01 -1.2222383e+00  5.2376288e-01
  5.2313191e-01 -8.8167965e-02  4.7881685e-02 -7.3843725e-02
 -1.6878052e-01 -1.4627741e-01 -1.8784683e-02 -9.5375947e-04
  9.8441262e-04  2.3059836e-03  7.7727705e-01 -4.4196762e-02
 -9.0201595e-04  1.4659304e-04  8.4533356e-03]","[ 0.02637196 -0.06921458 -0.09158564 -0.00789309 -0.02641338 -0.00687867
  0.05922031 -0.11114156]",17.0
0,"[ 5.1132768e-01  9.8480767e-01 -6.0889274e-02  4.3720145e-02
  1.5663610e-01 -5.2404374e-01  5.2347767e-01 -5.2380979e-01
 -7.1643758e-01  5.2581441e-01 -1.2222383e+00  5.2376288e-01
  5.2313191e-01 -8.8167965e-02  4.7881685e-02 -7.3843725e-02
 -1.6878052e-01 -1.4627741e-01 -1.8784683e-02 -9.5375947e-04
  9.8441262e-04  2.3059836e-03  7.7727705e-01 -4.4196762e-02
 -9.0201595e-04  1.4659304e-04  8.4533356e-03]","[ 5.07536054e-01  9.84783709e-01 -6.47259727e-02  3.92549597e-02
  1.56431019e-01 -5.24011910e-01  5.23512959e-01 -5.23778796e-01
 -6.80466056e-01  5.24148881e-01 -1.22219121e+00  5.23755193e-01
  5.23240745e-01 -1.05985254e-01  6.62458092e-02 -8.47818404e-02
 -2.05529064e-01 -1.71137959e-01 -3.58822234e-02  6.57433528e-04
  2.37685119e-04  1.66035261e-05  6.63470030e-01 -1.53182391e-02
  6.84035593e-04 -1.58161318e-04 -1.93207903e-04]","[ 0.02350628 -0.06710154 -0.07802725 -0.00466293 -0.02843702 -0.00886285
  0.04509532 -0.090832  ]",18.0
0,"[ 5.07536054e-01  9.84783709e-01 -6.47259727e-02  3.92549597e-02
  1.56431019e-01 -5.24011910e-01  5.23512959e-01 -5.23778796e-01
 -6.80466056e-01  5.24148881e-01 -1.22219121e+00  5.23755193e-01
  5.23240745e-01 -1.05985254e-01  6.62458092e-02 -8.47818404e-02
 -2.05529064e-01 -1.71137959e-01 -3.58822234e-02  6.57433528e-04
  2.37685119e-04  1.66035261e-05  6.63470030e-01 -1.53182391e-02
  6.84035593e-04 -1.58161318e-04 -1.93207903e-04]","[ 5.04504979e-01  9.84753728e-01 -6.78950399e-02  3.56072932e-02
  1.56148762e-01 -5.24015248e-01  5.23516834e-01 -5.23764610e-01
 -6.50675833e-01  5.23870111e-01 -1.22217739e+00  5.23770511e-01
  5.23225546e-01 -7.09332600e-02  4.09288965e-02 -5.50875515e-02
 -1.33284271e-01 -1.11398563e-01 -2.35843379e-02 -1.21075725e-04
 -6.72128954e-06  2.11729988e-04  5.31308591e-01 -8.07385077e-04
  4.20790202e-05  2.49633158e-04 -1.34990769e-04]","[ 0.0278517  -0.068703   -0.08224034 -0.00403273 -0.02477795 -0.01177943
  0.04734004 -0.09008801]",19.0
