#{"t_start": 1701844386.7054238, "env_id": "PickUpHighLevel-v0"}
r,l,t
-0.171823,1,1.844246
-75.581975,100,4.632461
-80.062215,100,7.49292
-40.772281,100,10.499406
-43.104581,100,13.48651
-0.218813,1,13.511675
-64.057622,100,16.654693
-56.067288,100,27.478781
-60.368435,100,30.665102
-53.666104,100,33.597193
-38.923855,100,36.734738
-41.39939,100,39.93264
-28.500775,100,50.741717
-19.680172,100,53.632159
-38.340393,100,56.694657
-41.459713,100,59.754605
-31.12875,100,62.9023
-0.221993,1,62.934075
-39.271276,100,73.710254
-25.171355,100,76.8359
-23.287936,100,79.872919
-0.15314,1,79.906199
-41.435553,100,82.899332
-36.647616,100,86.164214
-24.987179,85,96.262796
-59.391364,100,99.736295
-29.990053,100,102.819838
-54.580744,100,106.016543
-33.035226,100,109.454145
-17.10204,100,120.323683
-22.928382,100,123.617386
-0.673855,6,123.812381
-52.203378,100,127.121295
-28.904772,100,130.616353
-53.442357,100,133.944387
-51.689912,100,144.857043
-40.608026,100,148.164984
-85.500779,100,151.346347
-19.815093,100,154.504143
-18.730824,100,157.879095
-25.963609,100,168.719126
-34.609826,100,171.968586
-28.149681,100,175.295911
-24.021262,100,178.404909
-20.124448,100,181.954556
-0.203893,1,181.987428
-19.463212,100,185.546308
-23.482101,100,196.272751
-27.177167,100,199.487716
-21.954666,100,202.806639
-23.755129,100,206.185055
-18.532513,100,209.691768
-28.807091,100,221.171923
-23.759987,100,224.543857
-29.269038,100,227.926431
-24.176454,100,231.262364
-26.510147,100,234.658247
-16.908024,100,245.690202
-4.974912,26,246.550315
-55.822552,100,249.852512
-23.049683,100,253.090939
-27.960417,100,256.317264
3.484529,100,259.720844
-0.145446,1,259.752211
-19.135673,100,270.441417
-20.091725,100,273.759275
-22.492346,100,277.134241
-20.629027,100,280.444456
-0.145212,1,280.474626
-44.699251,100,283.910207
-17.700046,100,294.785058
-25.668843,100,299.24987
-18.690587,100,302.558066
-32.944928,100,305.948446
-20.464078,100,309.293264
-28.318989,100,320.481586
-18.193756,100,323.965134
-0.189823,1,324.001613
-16.003729,100,327.507315
-22.368761,100,330.844252
-23.483556,100,334.361712
-16.87982,100,345.526599
-24.08844,100,349.051591
-16.985561,100,352.412307
-15.496169,100,355.806288
-23.020489,100,359.183783
-26.650053,100,370.063926
5.697571,100,373.346741
-0.185011,1,373.377367
-17.998961,100,376.619884
-0.148192,1,376.650163
-22.55256,100,379.915695
-28.810461,100,383.073563
-57.051111,100,393.900163
-24.55881,100,397.123376
-23.438754,100,400.488458
0.171733,100,403.893776
-16.080938,100,407.339745
-16.149806,100,418.6989
-17.169027,100,422.297131
-13.376525,100,425.681014
-15.082752,100,429.024303
-16.270409,100,432.33702
-25.248403,100,443.106485
-20.799136,100,446.48431
-14.862738,100,449.919381
-31.363748,100,453.185985
-20.420589,100,456.58156
-19.506425,100,459.974588
-1.216871,9,467.837952
-46.773615,100,471.127046
-18.741446,100,474.303292
-17.096146,100,477.307925
-0.145926,1,477.341724
12.204131,100,480.381457
-16.090012,100,483.791613
-23.096887,100,494.171058
-18.721604,100,497.04131
-18.56866,100,499.961375
-20.758675,100,502.865921
-18.475905,100,506.157292
-49.598929,100,516.507568
-22.647963,100,519.354514
-9.482314,49,520.920204
-16.328285,100,524.105095
-17.524279,100,527.200762
-108.573686,100,538.760731
-18.89969,100,542.159456
-18.417253,100,545.446674
-0.15356,1,545.480082
-15.916645,100,548.787576
-17.166236,100,552.029401
-46.507034,100,562.905938
-17.877166,100,566.00288
-27.479656,100,569.355524
-26.542415,100,572.813107
-23.125858,100,576.350016
-20.424501,100,579.793966
-17.996259,100,590.713571
-24.830222,100,594.086859
-16.525859,100,598.777409
-17.39693,100,602.127084
9.210424,9,602.454824
-2.387235,22,603.224392
-7.860153,42,604.687602
-16.714865,100,615.910734
-20.325292,100,619.327314
-19.698337,100,622.655082
27.052566,26,623.52245
-18.488801,100,627.114117
-19.73368,100,630.842762
-19.395716,100,641.985673
-37.536112,100,645.322394
-20.042749,100,648.643396
-16.383482,100,651.872538
-1.673749,13,652.271017
-30.631803,100,655.627002
-17.448338,97,666.406108
21.86606,100,669.519081
-16.971297,100,672.666912
-8.54215,60,674.521525
-6.048258,48,676.018522
-19.815744,100,679.177922
-13.288773,100,689.990647
11.987477,100,693.207845
-16.712506,100,696.737591
-18.145697,100,700.024235
-17.613042,100,703.426968
-14.032731,100,714.831132
-16.245782,100,718.313958
-15.642634,100,721.71142
-15.870849,100,725.055104
-21.762434,100,728.222644
-4.161715,29,729.16356
-53.358509,100,740.114739
-17.418578,100,743.300378
-17.697785,100,746.501359
-16.54628,100,749.715811
-16.461275,100,752.937618
-6.672033,100,763.792292
-16.274893,100,767.039165
-18.550203,100,770.249098
-15.537129,100,773.35054
-13.73131,100,776.271948
-16.032785,100,787.339051
-14.476985,100,790.581158
-15.347673,100,793.381959
-16.110948,100,796.149746
-25.136001,100,799.072722
-18.847426,100,809.605144
-15.795959,100,813.002145
-18.488906,100,816.012997
-15.60296,100,818.840858
-18.439772,100,821.629011
-5.834934,40,822.745297
-0.15642,1,822.77383
-17.028884,100,833.368695
-18.052676,100,836.877329
-15.245034,100,839.720345
-0.145962,1,839.748034
-22.094535,100,842.554922
-14.274443,100,845.474663
-0.186675,1,845.50116
-13.271246,100,855.974221
-0.151421,1,856.010114
-16.437118,100,859.471892
-42.451127,100,862.597812
-35.223524,100,865.459774
-12.441612,100,868.311518
-16.277847,100,878.433777
-13.507954,100,881.928385
-14.399019,100,885.422362
-44.979861,100,889.303102
-16.870475,100,892.155431
7.925972,100,902.274218
-0.152792,1,902.303367
-3.926408,100,905.568427
-15.876334,100,908.988115
-13.286332,100,912.072093
-16.515954,100,914.974959
3.51947,100,924.987122
-20.252425,100,927.9103
65.037739,100,931.371223
-5.219377,100,934.803571
-14.314301,100,937.680118
-15.696912,100,947.683623
-0.146826,1,947.712319
-14.566552,100,950.524551
0.87116,100,953.873396
-0.145639,1,953.912802
