#{"t_start": 1701844387.7670898, "env_id": "PickUpHighLevel-v0"}
r,l,t
-44.682082,100,3.553617
-58.621051,100,6.411923
-80.014457,100,9.418642
-53.783626,100,12.408742
-41.563931,100,15.535131
-82.160778,100,26.36722
-57.719938,100,29.560923
-57.609283,100,32.491048
-34.067273,100,35.624914
-52.53011,100,38.823584
-55.173581,100,49.630583
-79.549751,100,52.516514
-30.89198,100,55.563856
-23.621827,100,58.64557
-24.509341,100,61.79604
-27.771044,100,72.573647
-6.366622,25,73.336769
-58.541725,100,76.419498
-45.994272,100,79.48761
-25.847122,100,82.532943
-0.936096,6,82.725814
-22.221537,100,85.9555
-41.239701,100,96.897186
-23.271952,100,99.932184
-31.90756,100,103.097153
-25.588568,100,106.444281
-26.849802,100,109.747261
-23.036774,100,120.706461
-23.220192,100,123.997029
-25.950409,100,127.340044
-20.641455,100,130.762843
-37.901459,100,134.086246
-80.928539,100,145.009789
-24.749314,100,148.255302
-53.020472,100,151.431298
-0.167191,1,151.464903
-19.852174,100,154.653062
-38.183879,100,158.056966
-25.984795,100,168.841503
-0.159248,1,168.876636
-23.0223,100,172.17466
-39.67912,100,175.466945
-23.255469,100,178.710325
-30.650002,100,182.234046
-0.209672,1,182.2706
-25.201002,100,193.087472
-24.092674,100,196.539889
-21.055853,100,199.728626
-21.510324,100,203.011529
-35.181192,100,206.441738
-70.268531,100,217.97489
-2.80378,17,218.57309
-38.904639,100,221.958018
-22.368316,100,225.333166
-1.359328,12,225.750259
-24.568083,100,229.115488
-15.993833,100,232.494411
-25.288225,100,243.611605
-20.73584,100,246.907457
-37.237351,100,250.125811
-20.859701,100,253.342637
-24.439825,100,256.659081
-43.262452,100,267.448509
-18.572983,100,270.746574
-31.643899,100,274.081641
-1.316331,11,274.454069
-27.478008,100,277.778034
-17.127707,100,281.121611
-15.541445,100,292.050105
-18.979687,100,296.574239
-25.181099,100,299.849391
-23.242497,100,303.234313
-20.782453,100,306.567439
-15.731164,100,317.725788
-46.084143,100,321.200095
-20.33159,100,324.660839
-19.380493,100,328.067884
-26.321541,100,331.528065
-19.473166,100,342.763647
-38.213798,100,346.22995
-0.150078,1,346.265229
-19.121585,100,349.666674
-24.161831,100,353.059593
-20.028068,100,356.520198
-20.03957,100,359.901042
-35.822169,100,370.661817
-17.016635,92,373.668629
-20.38323,100,376.868401
-22.390801,100,380.211608
-40.949258,100,383.32257
-22.732568,100,394.160439
-22.263112,100,397.474159
-19.589074,100,400.885754
-10.840921,58,402.784346
-18.97457,100,406.223912
-18.591902,100,417.581439
-33.622947,100,421.182641
-0.149931,1,421.21836
-12.241749,57,423.177028
-18.019544,100,426.506207
-8.213079,41,427.885096
-24.96133,100,431.192482
-17.906114,100,441.969942
19.015917,9,442.255324
-49.163348,100,445.639432
-19.929177,100,449.060266
-0.163966,1,449.090249
-28.130078,100,452.379698
-18.827527,100,455.779101
-16.4872,100,466.726964
-13.255501,100,470.015605
-36.296188,100,473.195973
-18.72037,100,476.203701
-21.569773,100,479.25158
-25.062092,100,482.641542
-27.752992,100,493.040381
-0.150489,1,493.066225
-17.679766,100,495.932892
