#{"t_start": 1701402477.188701, "env_id": "ReachWithGripperHighLevel-v0"}
r,l,t
-27.819962,100,2.916383
-87.575833,100,5.505341
-89.409382,100,8.122743
-95.391036,100,10.85627
-57.448572,100,13.396835
-1.03327,8,13.639895
-58.970845,100,23.654583
-5.333621,18,24.198795
-45.955444,100,26.994773
-51.279223,100,29.668361
-66.606017,100,32.407116
-50.578445,100,42.328847
-58.3229,100,45.006029
-7.357294,31,45.864134
-57.353609,100,48.64579
-37.919105,100,51.346883
-33.188741,100,54.065548
-45.129408,100,63.974225
-11.918227,56,65.45426
-30.531032,100,67.828616
-47.654249,100,70.509032
-23.417344,100,73.114774
-32.849506,100,75.798886
-23.59566,100,85.991767
-22.276762,100,88.376667
-19.318749,100,91.009174
-24.490751,100,93.614026
-24.780089,100,96.009219
-36.79634,100,105.63121
-28.79044,100,108.100672
-22.189443,100,110.797909
-6.652469,46,112.020285
-1.247683,10,112.292948
-22.554384,100,114.948497
-9.545729,47,116.219003
-0.164499,2,116.272684
-10.165102,47,117.531101
-18.398151,100,127.433508
-0.84492,7,127.621371
-26.065153,100,130.412184
-22.800409,100,133.201333
-25.537142,100,135.817619
-21.05531,100,138.396666
-5.192294,28,146.433651
-6.245747,50,147.618868
-4.086044,27,148.259762
-7.070394,53,149.510546
-28.555585,100,152.01587
-13.039623,80,154.368614
-5.654028,29,155.073549
-17.750541,100,157.373961
-7.906604,51,158.612977
-8.868034,65,167.276485
-5.821853,42,168.362336
-9.708732,33,169.268607
-19.735253,100,171.561668
-5.928556,37,172.379562
-4.406294,32,173.113023
-13.11974,63,174.69372
-13.98404,100,177.051617
-2.091748,16,177.397588
-3.801348,19,177.821855
-8.168918,47,185.936584
-5.189956,28,186.765191
-14.634884,100,189.046356
-12.883716,100,191.251354
-12.239299,73,192.788356
-3.213178,20,193.19847
-11.055104,64,194.768497
-2.668253,18,195.244061
-0.19575,3,195.309768
-5.596253,34,196.133994
-5.208744,24,196.734865
-1.228939,8,196.943468
-0.552529,5,204.181162
-0.879106,9,204.391474
-2.038259,19,204.837886
-6.446628,45,206.072442
-3.019934,24,206.721182
-1.127104,12,207.020706
-0.16824,3,207.096313
-3.506434,19,207.585209
-0.585075,5,207.712797
-0.714679,7,207.886376
-2.911007,24,208.446566
-1.699368,13,208.760957
-0.03174,1,208.787596
-0.477182,6,208.942634
-5.565785,38,209.894395
-2.731618,25,210.549972
-1.972438,22,211.130251
-2.136464,18,211.602714
-3.704854,19,212.153744
-5.712176,39,213.089873
-0.477511,5,213.232527
-1.982932,14,213.595517
-9.715896,66,215.248256
-9.746776,53,216.702463
-0.720923,7,216.879538
-3.744524,22,224.684461
-3.371191,25,225.281659
-2.483037,14,225.605942
-2.744985,21,226.122547
-0.305413,3,226.192072
-0.584119,7,226.347443
-0.182194,2,226.394413
-9.543155,91,228.561217
-2.814726,29,229.317161
-0.098042,2,229.369506
-1.905745,16,229.779605
-3.258713,33,230.5896
-15.487309,100,232.997696
-6.605125,48,234.189517
-2.639472,21,234.715833
-1.089455,10,234.940254
-2.333295,20,235.502237
-2.444718,26,236.14284
-0.095104,2,236.19036
-3.125133,36,236.997143
-6.386476,56,245.921006
-0.456391,6,246.065483
-1.373515,13,246.357506
-4.585149,38,247.332048
-1.238583,11,247.594871
-0.305493,4,247.686432
-0.100625,2,247.735482
-0.430205,5,247.844376
-1.933476,17,248.231288
-3.733797,30,248.902675
-0.847199,8,249.07313
-0.511544,4,249.166456
-0.656937,8,249.35641
-4.448884,31,250.026717
-1.034178,10,250.249162
-1.517806,14,250.558964
-1.72091,11,250.780248
-3.758917,35,251.55733
-2.171981,20,251.985277
-6.319735,61,253.416403
-3.399821,28,254.051424
-0.556336,7,254.223502
-0.726494,6,254.369362
-0.246522,3,254.43305
-1.948267,19,254.882989
-0.513447,5,255.005384
-0.023788,1,255.028939
-1.36093,10,255.293419
-1.696578,18,255.725617
-0.105323,2,255.766553
-0.12214,2,255.806881
-0.094492,2,255.848127
-0.212576,3,255.906814
-0.782098,7,256.093697
-0.033015,1,256.113698
-1.868217,19,264.218301
-0.754957,7,264.382039
-3.949994,36,265.345806
-1.426409,15,265.675618
-1.476497,16,266.028161
-1.521417,16,266.382313
-1.07359,9,266.587389
-12.245478,100,268.816849
-1.790422,14,269.110453
-4.336627,31,269.759962
-0.137476,2,269.799435
-0.400389,5,269.911799
-0.989013,9,270.187521
-1.67957,19,270.623429
-1.61207,13,270.900159
-1.772332,17,271.319109
-0.043637,1,271.345665
-1.365871,13,271.632756
-1.414863,11,271.877392
-3.184795,28,272.555867
-0.433373,5,272.662598
-1.028313,9,272.85406
-2.500893,19,273.262769
-2.193002,23,273.731041
-0.789501,11,273.949355
-2.225307,17,274.323133
-0.722598,8,274.493215
-0.274557,4,274.575384
-4.277725,28,275.146406
-1.436955,16,275.530537
-0.741132,8,282.564155
-2.444585,21,283.00934
-0.151221,2,283.062561
-4.123306,36,283.804451
-1.791787,17,284.138942
-1.624509,19,284.519057
-4.585722,31,285.133378
-1.180989,10,285.337157
-0.504437,6,285.461496
-1.628908,13,285.743249
-0.166083,3,285.809266
-0.421036,6,285.950948
-0.669156,8,286.202198
-0.605664,6,286.336944
-1.341368,14,286.62138
-0.434568,6,286.781741
-1.452083,14,287.112559
-1.769745,13,287.376979
-0.651129,7,287.52694
-2.207812,20,287.938864
-4.723907,37,288.690008
-5.520409,47,289.628237
-1.854817,21,290.070859
-1.080081,12,290.312621
-0.780892,8,290.477167
-2.120061,23,290.937961
-0.48851,7,291.071877
-0.947054,7,291.247515
-0.414311,5,291.371892
-3.273439,33,292.174251
-0.027126,1,292.196805
-1.750268,20,292.733522
-3.444205,23,293.35425
-1.218785,13,293.626277
-0.248269,4,300.920699
-1.819922,16,301.278992
-4.224234,38,302.168291
-1.364009,10,302.411298
-0.163134,3,302.482302
-0.913718,9,302.716675
-1.285275,11,302.996108
-2.165875,17,303.409388
-0.385538,4,303.495385
-0.238715,3,303.564039
-0.442187,4,303.655178
-0.138025,2,303.698446
-0.042963,1,303.718927
-0.786292,6,303.85023
-0.221586,3,303.915975
-0.136043,2,303.96144
-0.268488,3,304.037367
-0.156174,3,304.108262
-1.274006,14,304.45297
-0.56668,7,304.600963
-0.749112,8,304.764621
-1.331808,11,305.010857
-1.021293,12,305.287511
-2.124564,19,305.678239
-0.021033,1,305.702406
-1.322647,12,305.956739
-1.205515,15,306.271001
-0.472782,5,306.37452
-0.197452,3,306.443997
-2.027345,19,306.944054
-1.728384,17,307.331356
-0.195833,3,307.39402
-0.150269,2,307.435893
-1.06131,11,307.716268
-1.167662,11,307.970446
-2.94187,20,308.455408
-2.412613,22,308.989254
-0.628282,7,309.162265
-0.523866,6,309.303713
-1.584691,12,309.563792
-0.228748,3,309.638184
-0.515539,5,309.764237
-0.117509,2,309.816016
-0.254909,3,309.888536
-1.222682,12,310.183316
-0.034684,1,310.207813
-0.608507,5,310.322982
-0.045027,1,310.347106
-0.579523,9,310.542536
-0.087416,2,310.58678
-1.056717,11,310.826339
-0.631817,7,310.969697
-0.859949,9,311.158361
-0.402295,4,311.248148
-1.995092,16,311.618221
-0.483491,6,311.781155
-2.047749,20,312.238857
-0.972976,11,312.509776
-0.140727,2,312.560073
-0.310396,4,312.659748
-0.494602,6,320.161114
-0.371674,4,320.255944
-0.971498,8,320.453916
-0.714775,7,320.621035
-0.132396,2,320.671918
-1.051523,10,320.92004
-0.046508,1,320.944664
-0.855586,8,321.184658
-0.990484,12,321.455568
-0.85734,8,321.652269
-0.609302,6,321.79243
-0.14051,2,321.843389
-0.327253,4,321.944266
