#{"t_start": 1701844385.182152, "env_id": "PickUpHighLevel-v0"}
r,l,t
-62.899466,100,3.39335
-60.28551,100,6.114713
-78.312182,100,8.877064
-92.919624,100,11.723374
-46.631919,100,14.712189
-0.147558,1,14.742866
-0.17793,1,14.767381
-72.904875,100,25.621001
-99.717192,100,28.633761
-62.040569,100,31.574353
-32.429853,100,34.429872
-52.813582,100,37.369602
-62.047405,100,48.329082
-35.238094,100,51.293279
-44.534955,100,54.160668
-55.13575,100,57.03293
-55.668079,100,60.039037
-32.03045,100,70.841485
-48.417056,100,73.920204
-32.294733,100,77.129887
-12.213891,48,78.498735
-32.994884,100,81.498775
-23.664215,89,84.072958
-44.259999,100,94.904181
-52.541446,100,98.074852
-33.47186,100,101.37111
-21.531871,100,104.484932
-18.458354,100,107.675833
-26.498277,100,118.641312
-20.221706,100,122.04845
-34.357526,100,125.346739
-0.451764,8,125.664948
-28.714863,100,128.974555
-36.192916,100,132.475036
-20.7158,100,143.48194
-0.149497,1,143.52618
6.233406,28,144.497453
-36.92545,100,147.784252
-28.034122,97,150.893253
-28.435102,100,154.154566
-21.957118,100,157.480913
-22.752048,100,168.60863
-6.42161,43,170.075225
2.341885,100,173.453319
-54.45169,100,176.725261
-50.362807,100,180.104392
-56.013708,100,191.399249
-4.717159,100,194.777956
-24.8705,100,198.182702
-14.377503,100,201.368603
-45.984223,100,204.792033
-0.161088,1,204.827091
2.598785,100,216.390888
-64.714251,100,219.923932
-0.160514,1,219.956071
-27.854976,100,223.476225
-0.153817,1,223.51509
-0.14974,1,223.550851
1.459227,100,227.175883
-0.172576,1,227.210709
-29.497571,100,230.632111
-26.685702,100,241.955904
-20.297036,100,245.488551
-57.083162,100,248.839715
-21.709465,100,252.192244
-30.369137,100,255.555242
-20.301932,100,258.814106
-14.318687,100,269.878761
-25.353452,100,273.089798
-0.1548,1,273.122282
-17.5366,100,276.548972
-3.881329,100,279.814747
-45.185696,100,283.233687
-19.132797,100,294.223212
-20.637632,87,298.67712
-0.181115,1,298.708072
-25.198376,100,302.030088
-26.522825,100,305.436333
-32.38059,100,308.784485
-20.563229,100,320.040239
-21.371952,100,323.616345
-18.17091,100,327.032564
-3.349864,100,330.462093
-21.28872,100,333.740837
-45.08023,100,345.159774
-7.450692,38,346.485145
-0.184104,1,346.519002
-1.489709,12,346.914627
-19.923121,100,350.307426
-0.198258,1,350.343471
-18.821008,100,353.797998
45.888823,40,355.098414
-19.536156,100,358.486021
-22.184125,100,369.305045
