#{"t_start": 1701061906.624275, "env_id": "ReachWithGripperLowLevel-v0"}
r,l,t
-33.589269,100,3.072805
-40.628695,100,5.570608
-24.963649,100,8.076979
-23.134538,100,10.490604
-29.054624,100,12.899306
-44.029518,100,23.496499
-30.533146,100,25.686451
-27.867763,100,28.344312
-29.663311,100,30.687293
-39.437513,100,32.926926
-6.399745,31,42.263156
-0.036217,1,42.290079
-18.696049,100,44.775285
-20.730742,100,47.19455
-37.486099,100,49.563731
-33.557315,100,52.072244
-4.391979,26,52.741051
-20.421115,86,63.772002
-23.277043,100,66.097031
-20.286482,100,68.481071
-27.069595,100,70.662868
-25.022387,100,72.976214
-32.362331,100,75.231164
-18.846213,100,86.990839
-17.449549,89,89.184037
-18.71424,100,91.610612
-0.139565,2,91.659093
-16.302814,68,93.315639
-17.449922,100,95.787922
-20.161371,100,106.864451
-4.619338,25,107.431726
-20.065545,100,109.740485
-17.43997,100,112.161784
-19.416202,100,114.588852
-0.391864,4,114.683123
-3.409211,27,115.346583
-0.160165,2,115.396069
-1.420096,12,115.692475
-16.760282,100,126.679446
-0.381416,4,126.771618
-0.098493,2,126.815269
-22.617204,100,129.247514
-13.039893,92,131.527403
-5.591523,40,132.48183
-3.269188,29,133.160713
-6.229143,51,134.293764
-6.564185,27,134.884547
-0.874899,7,135.03261
-2.594343,21,135.521803
-2.446252,19,135.988365
-11.577521,70,137.62422
-0.183662,3,137.689005
-13.583551,100,148.520156
-5.459195,43,149.522775
-8.073174,68,151.137832
-4.244218,37,152.007078
-13.22753,86,154.153363
-5.325246,30,154.870496
-1.183976,9,155.092315
-0.979451,9,155.299229
-4.98833,43,156.356448
-14.922014,100,158.768256
-1.918555,18,159.186225
-3.986598,28,168.481262
-1.365219,12,168.779591
-2.026125,20,169.247142
-12.698801,98,171.544882
-2.697336,25,172.130375
-1.27908,11,172.37822
-3.295432,31,173.059117
-1.996344,20,173.497073
-0.410004,5,173.614259
-1.541966,14,173.965704
-2.566901,17,174.352622
-3.986105,34,175.145863
-2.272176,22,175.652652
-1.582631,15,175.989946
-8.505061,68,177.625702
-4.18574,33,178.390293
-3.956603,28,179.034885
-7.371435,52,189.235197
-0.196846,3,189.306341
-0.686586,8,189.501382
-0.146072,2,189.545512
-1.129539,14,189.877271
-0.684331,8,190.064243
-2.318208,25,190.641669
-4.074586,34,191.451397
-0.991938,13,191.761609
-1.702667,16,192.184003
-3.024167,24,192.752102
-1.494896,17,193.1282
-4.603513,37,193.996373
-0.041158,1,194.020674
-0.210537,3,194.095966
-5.036742,39,195.038413
-0.183137,3,195.11045
-2.737761,21,195.606553
-1.213111,11,195.868938
-0.169009,3,195.941113
-6.770465,49,197.068922
-0.519158,5,197.188738
-1.893732,21,197.685584
-11.428223,100,199.983155
-0.115764,2,200.027451
-4.609433,30,200.690993
-2.834364,26,209.842628
-2.497025,26,210.42714
-1.986473,19,210.864975
-0.220106,4,210.953589
-2.698362,20,211.402287
