#{"t_start": 1701397751.3009229, "env_id": "ReachWithGripperLowLevel-v0"}
r,l,t
-48.856952,100,3.104934
-29.577131,100,5.311312
-0.939645,7,5.455194
-19.367155,100,7.498155
-53.808854,100,9.513598
-17.42249,100,11.664167
-56.474687,100,21.667052
-64.134129,100,23.927592
-55.75034,100,26.117675
-38.669509,100,28.226134
-57.291744,100,30.654752
-18.801834,100,41.153447
-28.517293,100,43.378352
-8.164586,48,44.518242
-26.308368,100,46.799245
-1.011236,10,47.047194
-25.90223,100,49.466452
-6.207601,35,50.38878
-8.698917,38,59.404481
-20.088173,100,61.63677
-26.402986,100,64.073157
-30.573329,100,66.335716
-12.033054,65,67.908032
-0.883693,8,68.075252
-9.356621,69,69.958459
-17.346383,67,71.513522
-3.120675,17,80.042025
-15.908816,100,82.382582
-1.473109,13,82.696999
-0.134775,2,82.746903
-20.193569,100,84.837826
-1.608556,12,85.107519
-18.131098,100,87.181633
-22.141318,100,89.188828
-7.819558,53,90.198282
-17.474433,100,99.978075
-1.669042,16,100.332549
-1.746126,17,100.696948
-21.248619,100,102.649443
-3.64759,25,103.127704
-17.036975,100,105.152133
-0.149473,3,105.214851
-0.087213,2,105.255509
-11.320931,67,106.592397
-18.602274,100,116.479757
-20.890837,100,118.697919
-16.051747,100,120.700771
-11.035192,74,122.140611
-4.681624,31,122.779486
-0.639735,7,122.919954
-19.278491,100,125.099374
-16.028735,100,135.27684
-0.25702,3,135.34506
-2.345995,22,135.858797
-3.20417,32,136.570503
-4.432167,38,137.366982
-3.758289,24,137.861019
-3.20086,18,138.213828
-2.217409,23,138.689076
-8.856167,60,140.00146
-7.287389,51,141.255927
-1.198402,11,141.532922
-4.424794,43,142.616905
-2.086217,18,143.032804
-2.783722,20,143.503052
-10.721432,55,144.718661
-1.7589,14,145.062801
-3.623863,26,145.687015
-5.656461,51,146.887316
-0.793175,7,154.941413
-0.658519,5,155.051985
-3.71023,28,155.648525
-4.600675,39,156.461134
-15.333145,97,158.533372
-3.244829,27,159.060523
-0.829073,8,159.214185
-0.982898,10,159.396015
-0.844645,7,159.534642
-2.365294,22,159.975373
-0.522291,7,160.133144
-2.854662,22,160.548091
-4.771688,41,161.342223
-2.092272,19,161.705767
-0.568862,7,161.843903
-3.779136,29,162.500986
-5.196172,40,163.453016
-0.279308,4,163.54885
