#{"t_start": 1703310042.167698, "env_id": "PickUpHighLevel-v0"}
r,l,t
-32.54412,100,2.825739
-58.68877,100,5.496532
-54.716703,100,8.41365
-46.759339,100,11.49232
-44.978374,100,14.212093
-45.009682,100,24.122642
-32.982968,100,26.946532
-93.224531,100,29.781373
-65.572124,100,32.689291
-33.339566,100,35.704845
-26.698951,86,45.280802
-40.150627,100,48.304585
-37.977013,100,51.285639
-39.56677,100,54.412802
-48.39605,100,57.300395
-27.112282,100,67.177826
-33.81089,100,70.209949
-32.195395,100,73.198024
-37.107112,100,76.330873
-24.130583,100,79.487601
-0.182224,1,79.513593
-38.533953,100,89.520464
-22.809666,100,92.652111
-48.074551,100,95.564793
-30.195019,100,98.590355
-27.592825,100,101.542636
-25.271614,100,112.17649
-20.455913,100,115.416531
-17.656094,100,118.702389
-19.835247,100,122.106327
-22.833596,100,125.272407
-3.485653,16,125.792417
-10.690015,44,127.331265
-20.680399,100,137.894977
-33.350346,100,141.445946
-18.501224,100,144.854302
-22.814101,100,147.926325
-21.702818,100,151.154629
-5.724637,100,161.848335
-33.286906,100,165.243489
-29.005704,100,168.529594
-88.103656,100,171.418886
-20.825201,100,174.468418
-0.173411,1,174.498671
-0.15334,1,174.528922
-12.508149,85,184.056482
-20.669492,100,187.134464
-22.786387,100,190.143146
-17.109575,100,193.319614
-16.209527,100,196.335678
-26.674085,100,207.038309
-17.11771,100,210.16872
-30.385643,100,213.258339
-21.420391,100,216.333771
-23.858586,100,219.535218
-0.149882,1,219.572988
-17.906649,100,229.979026
-17.278769,100,233.133149
-4.940999,35,234.238376
-18.460397,100,237.204314
-2.851987,18,237.772247
-24.212558,100,240.856683
-30.446608,100,243.890153
-18.75337,100,253.850952
-18.176491,100,256.928645
-22.902456,100,260.346353
-0.189874,1,260.378162
-73.534726,100,263.493248
-20.706711,100,266.674067
-18.644694,100,276.613848
-23.991284,100,281.01991
-24.066765,100,284.500341
27.792054,100,287.990022
18.417048,100,291.206678
-16.952464,100,301.167772
-19.443702,100,304.240906
-19.997379,100,307.206383
-22.663641,100,310.16562
-18.981454,100,313.257178
-21.497809,100,323.484176
-15.685911,100,326.557732
-30.311544,100,329.645528
-21.500759,100,332.753162
-37.81176,100,335.79807
-16.091282,100,345.870231
-32.683221,100,348.945627
-9.561122,49,350.526601
-3.653401,37,351.72224
-18.768399,100,354.948022
-18.850447,100,358.219247
-51.248763,100,361.646765
-19.472149,100,372.922974
-2.133288,15,373.483227
-20.145106,100,376.82138
-37.921841,100,380.371211
-15.109304,100,383.875258
-18.88118,100,387.233518
-26.646517,100,397.749158
-23.233225,100,400.921849
-0.153061,1,400.951276
-17.221147,100,403.827547
-13.841824,100,406.796616
-21.23612,100,409.846981
-0.18642,1,409.876577
-15.650629,100,420.252644
-24.351778,100,423.52118
-17.730189,100,426.761513
-0.149589,1,426.795731
-17.284825,100,429.952509
-4.467422,100,433.301532
-0.152786,1,433.337599
-22.616305,100,444.4755
-1.896011,17,445.019551
-14.788047,100,448.436445
-65.285027,100,451.793343
-16.144283,100,455.312567
-64.027533,100,458.689141
-29.071912,100,468.837033
-17.799807,100,471.928415
-19.627779,100,475.624228
-16.977028,100,478.663453
-17.66107,100,481.835308
-42.6357,100,492.273957
-48.860833,100,495.479835
-24.692162,100,499.54547
-18.554215,100,503.273494
-14.813269,100,507.196377
-16.203014,100,517.139726
-5.321906,100,520.021828
-17.304158,100,523.008238
-42.743229,100,526.006039
-0.145003,1,526.039616
-13.551933,100,529.135206
-17.360621,100,539.909298
-19.045909,100,542.817212
-17.143578,100,545.692323
-18.351447,100,548.765765
-19.617925,100,551.852003
-19.049636,100,562.713842
-14.227587,100,565.981533
-15.787469,100,570.218136
-17.775316,100,573.555063
-16.476267,100,576.520795
-55.645737,100,586.418981
-15.88401,100,589.877302
-14.695068,100,593.735302
-34.999884,100,596.813072
-0.920739,7,597.063711
-19.236969,100,600.937241
-21.253553,100,611.494166
-47.000589,100,614.743687
-8.093254,53,616.416175
-10.53585,100,619.764512
-16.644989,100,623.286299
-37.457909,100,626.831667
-14.641675,100,637.195184
-0.18149,1,637.235079
-16.159108,100,640.748805
-14.579148,100,644.330238
-20.043562,100,647.962212
-0.146826,1,647.995383
-20.555871,100,651.427094
1.33401,100,662.098455
-0.191785,1,662.13413
-18.348293,100,665.436611
-16.52104,100,668.967094
-14.930008,100,672.879762
-17.065058,100,676.337997
-23.75412,100,687.248081
-29.110542,100,690.486637
-15.981195,100,693.653963
-14.938277,100,696.757056
-18.172003,100,699.840629
-60.554829,100,710.064942
-14.507718,100,713.69175
-15.556821,100,717.185499
-57.12479,100,720.648972
-7.200881,50,722.346913
-19.773505,100,725.746063
-14.530537,100,736.806443
-4.437405,100,740.420406
-15.521213,100,743.878451
-57.905119,100,747.221962
-21.809811,100,750.544814
-3.969252,24,751.336212
5.367886,38,759.706519
-14.8538,100,763.182906
-0.168561,1,763.2223
-14.307124,100,766.363485
-1.464934,100,769.693375
-44.630226,100,772.740071
5.758027,100,775.817061
-17.080345,100,785.928747
-19.263076,100,789.078994
-59.603318,100,792.04157
-15.929355,100,795.219102
-14.227758,100,798.542471
-11.96676,100,808.909141
-0.196728,1,808.937315
-31.369561,100,812.138906
-48.777255,100,815.312094
-0.147254,1,815.33713
-22.677406,100,818.690225
-25.650867,100,821.828325
-5.172049,32,829.886481
-13.461027,100,833.085511
-24.254121,100,836.29722
-0.150774,1,836.330742
-36.222127,100,839.517155
-16.57487,100,842.800113
-20.540388,100,845.953743
-22.038175,100,856.769515
-15.82713,100,860.223263
-51.404946,100,863.606828
-0.14449,1,863.644433
-19.462058,100,867.940403
-16.508279,100,871.025743
-7.931614,50,879.662887
74.871705,100,882.759832
-16.410124,100,885.742484
-18.356608,100,888.805502
-14.181214,100,891.991769
-20.679845,100,902.218053
-5.406844,31,903.199479
79.004425,100,906.474146
51.724482,100,909.565253
-19.495975,100,912.768252
11.995299,100,915.880157
-17.370311,100,926.210823
-0.17008,1,926.249634
-1.974891,16,926.724037
-15.394256,100,929.702982
120.26705,100,932.706647
-15.084759,100,935.689295
11.987703,100,938.566702
-18.644331,100,948.317653
-0.165294,1,948.34654
-18.538719,100,951.315541
62.177213,100,954.240104
-21.103649,100,957.176239
-56.515561,100,960.125352
-16.173727,100,969.932264
-14.097818,100,972.81826
-16.588513,100,975.814209
-49.474346,100,979.483784
-56.610108,100,982.845943
-19.077258,100,993.080547
-0.144013,1,993.114901
-63.237928,100,995.975226
-7.76632,100,998.855516
-18.991614,100,1001.993
-24.507896,100,1004.913943
-25.427967,100,1014.894302
-19.175411,100,1018.00322
-14.593228,100,1021.022173
-18.460152,100,1024.144354
-36.462222,100,1027.34889
-1.534228,14,1027.784166
-15.716882,100,1038.179078
-14.4274,100,1041.341155
-17.077449,100,1044.402083
-5.885809,34,1045.496031
-10.055699,69,1047.725626
-18.77847,100,1050.808943
-22.419908,100,1060.762798
-18.264014,100,1063.899583
-18.293992,100,1067.138647
-28.264649,100,1070.298475
-6.848178,42,1071.647589
-20.492521,100,1074.743641
-16.986543,100,1084.788296
-78.0677,100,1087.66977
168.871143,100,1090.557742
-15.925044,96,1093.380516
-18.431197,100,1096.265854
-0.176032,1,1096.298306
-16.863187,100,1106.409469
-19.574863,100,1109.370995
-15.468983,100,1112.392253
-14.377799,100,1115.401354
-17.165202,100,1118.27897
-22.500271,100,1128.284721
-48.994494,100,1131.263726
-0.173015,1,1131.295463
-17.073769,100,1134.406784
-17.011661,100,1137.307719
-14.638462,100,1140.212907
-18.51544,100,1144.200298
1.834999,64,1153.337503
-43.147533,100,1156.336011
-13.614676,100,1159.546456
-14.777716,100,1162.491322
5.163074,100,1165.463037
-0.174044,1,1165.488898
-7.161536,100,1176.130389
-20.343554,100,1179.207862
-33.966163,100,1182.21669
-19.53402,100,1185.192678
-14.965357,100,1188.165399
-19.155304,100,1198.370064
-12.295661,100,1201.399477
-16.17777,100,1204.479999
-24.795439,100,1207.472765
-24.793725,100,1210.466112
-16.169593,100,1220.507225
-32.789838,100,1223.42939
-20.098952,100,1226.447377
-17.488833,100,1229.44024
-16.876919,100,1232.337763
-18.022001,100,1242.830927
-14.816975,100,1245.823811
-0.153988,1,1245.854108
-19.297788,100,1248.84032
23.85236,100,1251.830381
-14.596844,100,1254.882022
-0.182025,1,1254.911846
26.795028,100,1257.875393
-24.996926,100,1268.331631
17.408621,100,1271.27413
-16.380909,100,1274.328955
-14.906773,100,1277.800445
-16.461185,100,1280.918066
-15.508983,100,1290.891874
-21.403499,100,1294.439337
-6.750683,63,1296.235049
-15.521323,100,1299.456015
-16.755226,100,1302.963188
-0.165676,1,1302.989977
-5.374674,100,1313.303601
-75.293491,100,1316.212484
-0.163994,1,1316.259563
-13.310924,100,1319.398584
-0.159809,1,1319.43173
-14.577571,100,1322.795296
-53.361013,100,1326.142835
-2.251816,16,1326.914895
-24.034826,100,1337.464832
-6.158182,33,1338.557596
-21.064962,100,1341.92331
7.415653,21,1342.586941
-21.570731,100,1345.735222
-14.061258,100,1348.907313
-7.752785,62,1350.957494
-14.230831,100,1361.636757
-19.095033,100,1364.768744
-13.288282,100,1367.79426
-16.579915,100,1370.855136
-15.987455,100,1373.974141
-5.6993,47,1375.428008
-17.431724,100,1385.804117
-14.691436,100,1388.978231
-14.428049,100,1392.519077
-4.966759,40,1393.951991
-17.790818,100,1397.842179
-34.779378,100,1408.975336
-16.828619,100,1412.601508
-2.879078,26,1413.48264
-12.138624,100,1416.874264
-14.490988,100,1420.361973
-4.256554,46,1421.952892
-16.74635,100,1425.439432
-3.60227,39,1434.099384
-16.109727,100,1438.638898
-17.810513,100,1442.151123
-19.163909,100,1445.574615
-12.489114,100,1449.116111
-0.151328,1,1449.15358
-13.42728,100,1460.285577
-13.536456,100,1463.785086
-14.658975,100,1467.543881
-16.398936,100,1471.082335
-17.255529,100,1474.55791
-0.164163,1,1474.591881
4.472496,100,1478.154298
-15.131328,100,1489.132281
-29.127235,100,1492.678356
-18.602041,100,1496.384427
-12.255424,100,1499.920623
-13.911331,100,1503.328331
-39.720363,100,1514.496718
-13.974843,100,1518.13674
-13.221204,100,1521.631379
-0.19642,1,1521.664416
-13.324604,100,1525.081818
-18.787503,100,1528.581429
-16.573917,100,1539.570559
-0.204411,1,1539.605308
-12.501817,100,1543.301197
-13.228122,100,1546.190313
-14.392715,100,1549.292163
1.142667,100,1552.42913
-13.060415,100,1562.626782
-12.928283,100,1565.718136
-38.018505,100,1568.826324
-14.795821,100,1571.887626
-0.146267,1,1571.929337
-1.065391,9,1572.196388
-34.191959,100,1575.396847
-15.255264,100,1585.792299
-0.180791,1,1585.819956
-17.61013,100,1588.757297
-0.186484,1,1588.789335
-14.284337,100,1591.85841
-0.19417,1,1591.889168
-14.286622,100,1594.884939
-12.339628,100,1597.888819
-0.183571,1,1597.923338
-5.436953,43,1599.314997
-12.940495,100,1609.486079
-19.516705,100,1612.384769
-14.639034,100,1615.255541
-0.152057,1,1615.285076
-0.189325,1,1615.314574
-9.630375,100,1618.296231
-14.416574,100,1621.354689
-12.590923,100,1631.87962
-15.078624,100,1634.926919
-23.737457,100,1638.888841
-14.708856,100,1641.927252
-12.3528,100,1644.883664
-18.880742,100,1654.853475
-15.948878,100,1657.883444
-13.470214,100,1661.211687
-16.628045,100,1664.501243
16.526182,100,1667.665778
5.853675,100,1677.677165
-15.019354,100,1680.509374
-18.907558,100,1683.368375
-14.353905,100,1686.224252
-1.239156,10,1686.505742
-13.343135,100,1689.358654
83.039633,100,1699.449411
-1.368953,11,1699.760872
-13.663563,100,1702.683857
-14.400594,100,1705.482496
164.996839,100,1708.397684
-15.87273,100,1711.485229
-14.320874,100,1721.870023
-16.824029,100,1725.870977
254.25947,100,1728.967741
-0.147653,1,1728.998803
-12.962188,100,1731.990073
-13.189651,100,1734.84276
-2.257555,20,1735.40792
-12.004555,100,1745.423269
-14.057166,100,1748.649884
-3.504564,28,1749.418744
-0.899085,7,1749.603381
-15.414033,100,1752.532881
-14.549697,100,1755.419593
