episode,timestep,reward
109,2000,79.0647
215,4000,81.0601
318,6000,83.1525
422,8000,83.5335
519,10000,88.322
620,12000,85.8082
718,14000,87.5183
808,16000,95.2948
900,18000,94.6768
995,20000,90.1931
1087,22000,94.0886
1174,24000,100.5079
1256,26000,105.8946
1336,28000,108.5276
1409,30000,118.7453
1484,32000,115.3554
1560,34000,114.6408
1634,36000,116.7164
1701,38000,129.1912
1764,40000,138.4714
1826,42000,137.2578
1892,44000,129.1388
1950,46000,149.0665
2012,48000,139.2004
2068,50000,154.7707
2133,52000,134.8996
2190,54000,147.6986
2246,56000,153.9857
2298,58000,170.0118
2350,60000,168.1474
2406,62000,149.8669
2457,64000,173.5663
2504,66000,184.3208
2556,68000,170.1868
2605,70000,176.4865
2650,72000,193.3964
2696,74000,194.5899
2740,76000,193.6782
2782,78000,204.9579
2825,80000,204.5474
2865,82000,214.4948
2908,84000,197.7551
2950,86000,203.8808
2989,88000,228.9789
3028,90000,219.2072
3069,92000,210.5612
3108,94000,227.6903
3147,96000,222.0257
3184,98000,230.8706
3224,100000,220.4992
3263,102000,219.2617
3300,104000,236.0629
3338,106000,226.4707
3375,108000,229.3367
3414,110000,222.2167
3450,112000,239.3091
3485,114000,242.2199
3522,116000,227.4499
3558,118000,238.7357
3591,120000,259.4718
3625,122000,253.3427
3658,124000,267.7104
3693,126000,243.7028
3726,128000,262.0777
3760,130000,253.2551
3795,132000,242.1804
3827,134000,272.8444
3861,136000,256.5108
3895,138000,250.9307
3930,140000,245.1075
3961,142000,276.7373
3993,144000,270.4935
4027,146000,257.2475
4061,148000,251.6238
4095,150000,248.5985
4125,152000,283.7721
4156,154000,271.6638
4189,156000,268.2848
4221,158000,262.6469
4251,160000,281.3438
4285,162000,255.3469
4317,164000,265.1366
4350,166000,257.1665
4383,168000,248.7361
4415,170000,266.0916
4449,172000,245.382
4479,174000,290.3743
4511,176000,267.6435
4541,178000,273.9227
4572,180000,271.4701
4604,182000,266.4982
4638,184000,239.6382
4669,186000,272.1562
4701,188000,271.8781
4733,190000,264.24
4763,192000,287.6942
4793,194000,287.8288
