#{"t_start": 1703215298.072559, "env_id": "PickUpHighLevel-v0"}
r,l,t
-45.763094,100,4.517934
-77.275789,100,7.36649
-51.234189,100,10.244154
-49.776029,100,13.062266
-75.150592,100,15.979043
-66.088166,100,25.949361
-61.49862,100,28.802828
-76.105008,100,31.579556
-56.808177,100,34.4703
-33.504132,100,37.362154
-69.616634,100,47.272087
-48.529065,100,50.142344
-60.595403,100,53.071612
-42.830134,100,55.894007
-50.608401,100,58.70071
-33.403087,100,68.74748
-56.461433,100,71.507153
-66.017352,100,74.38931
-49.812137,100,77.19119
-47.973642,100,80.02705
-51.56164,100,89.971635
-53.116631,100,92.886189
-41.729143,100,95.857091
-61.588984,100,98.713952
-56.820436,100,101.606072
-0.199637,1,101.635338
-0.171942,1,101.666759
-89.350906,100,111.535298
-35.367017,100,114.49588
-26.502289,100,117.476908
-35.647736,100,120.346041
-0.188469,1,120.374346
-50.094991,100,123.337666
-48.778555,100,133.328318
-0.380061,5,133.474541
-63.596337,100,136.389008
-56.0183,100,139.338073
-46.953177,100,142.280323
-43.425423,100,145.274947
-27.354963,100,155.249134
-4.894669,25,155.937123
-40.499539,100,158.832281
-57.630265,100,161.727272
-41.551408,100,164.730791
-0.204968,1,164.762473
-41.814269,100,167.834297
-46.717515,100,178.014621
-73.412296,100,181.00511
-38.134914,100,184.006142
-34.091662,100,186.962928
-0.189558,1,186.994347
-0.180039,1,187.022191
-0.201816,1,187.054278
10.978712,59,188.746729
-47.278217,100,191.655691
-34.799304,100,201.748516
-78.359625,100,204.796343
-29.238533,100,207.854049
-68.235566,100,210.793019
-48.494959,100,213.790704
-38.407025,100,223.89122
-32.81654,100,226.836083
-31.812481,100,229.780054
-34.501449,100,232.727533
-37.264506,100,235.737131
-11.590761,51,244.355169
-0.192014,1,244.385912
-35.926362,100,247.343618
-0.191854,1,247.375301
-40.115412,100,250.385762
-79.512386,100,253.414418
-23.918389,100,256.406979
-46.311964,100,266.418583
-10.855007,64,268.381653
-21.818688,100,272.065429
-34.242048,100,275.004731
-26.380553,100,277.982481
-39.725735,100,280.930463
-39.419986,100,291.080226
-23.940591,100,294.110139
-82.142795,100,297.123809
-0.180824,1,297.154473
-26.104317,100,300.203556
-33.743411,100,303.275215
-27.366372,100,313.425872
-0.202319,1,313.45411
-30.543021,100,316.552108
-21.37593,100,319.688046
-0.192844,1,319.720429
-37.011973,100,322.743192
-30.345853,100,325.931696
-36.962684,100,336.033063
-20.850029,100,339.087904
-26.289072,100,342.228094
-32.233222,100,345.298505
-23.956062,100,348.308414
-43.575826,100,358.382478
-0.169175,1,358.412345
-25.602607,100,361.402077
-22.303927,100,364.76442
-35.80213,100,367.815185
-24.606753,100,370.885717
-25.719703,100,380.907737
-26.773766,100,383.958118
-31.96909,100,386.982516
-29.71999,100,389.938769
-6.73441,35,391.029672
-7.565556,100,394.146147
-27.687274,100,404.348919
-26.734942,100,407.322958
-47.617726,100,410.381083
-23.877013,100,413.36135
-52.572531,100,416.285656
-0.205507,1,416.317204
-42.403379,100,426.429246
-33.705971,100,429.488569
-30.653561,100,432.551599
-21.120066,85,435.087503
-32.662789,100,438.121321
-1.210085,11,438.475838
-23.790853,100,448.50298
-25.10457,100,451.514649
-0.182021,1,451.543927
-19.26487,100,454.592365
-23.694884,100,457.607728
-17.802115,100,460.600237
-34.68562,100,463.618155
-22.497076,100,473.630649
-31.735949,100,476.632515
-23.952197,100,479.619236
-28.482436,100,482.818577
-29.883468,100,485.900409
-32.106934,100,496.049234
-0.181802,1,496.204973
-3.139168,18,497.054485
-11.253985,63,498.802175
-43.015993,100,501.613185
-25.945316,100,504.430592
-24.798626,100,507.329862
-63.933566,100,517.161652
-30.575055,100,520.02094
-31.734559,100,522.816411
-41.135366,100,525.640043
-22.167447,100,528.496811
-29.13597,100,538.327156
-5.126424,25,539.02385
-25.171299,100,541.814298
-29.109759,100,545.381564
-28.732095,100,548.162361
-15.688907,65,550.001954
-23.632756,100,559.709272
